COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",القنصلية العامة في لندن,"15 Palace Garden Mews, London, W8 4RB - مبنى القنصلية العام",9,القنصلية العامة في لندن - غرفة رقم 5
استراليا,"قنصلية لبنان العامة في استراليا, ملبورن",مدرسة الراهبات الانطونيات Antonine College,"130 harding Street Coburg, VIC 3058",52,مدرسة الراهبات الانطونيات Antonine College - غرفة رقم 1
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",66,LEcole armenienne Sourp Hagop - غرفة رقم 11
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",75,LEcole armenienne Sourp Hagop - غرفة رقم 20
كندا,"سفارة لبنان لدى كندا, اوتاوا",Canadian Druze Center,"14304 134 Ave NW, Edmonton, AB, T5L 5V8",13,Canadian Druze Center - غرفة رقم 2
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,35,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 20
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Austin Southpark Hotel,"Austin Southpark Hotel  4140 Governors Row, Austin, TX, 78744",1,Austin Southpark Hotel
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",St. Sharbel Maronite Catholic Church,"7 Reeve Street, Somerset NJ 08873",62,St. Sharbel Maronite Catholic Church - غرفة رقم 3
النمسا,"سفارة لبنان لدى جمهورية النمسا, فيينا",السفارة اللبنانية في النمسا,"Embassy of Lebanon, Oppolzergasse 6/3, 1010 Wien, Austria",1,السفارة اللبنانية في النمسا
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",56,LEcole armenienne Sourp Hagop - غرفة رقم 1
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,21,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 6
